Timestamp,Open,OpenScaled,High,Low,Close,CloseScaled,Volume,EMA_20,EMA_40,EMA_200,RSI,MACD,Signal,PercentChange
2023-07-18,450.5,45050,454.86,450.0484,454.19,45419,80744448,451.4204769,448.0438652,465.0696841,55.69371728,2.876662821,3.068052414,7
2023-07-17,449.13,44913,451.93,449.08,450.84,45084,52680221,451.3651934,448.180262,464.9280952,56.71442852,2.483846265,2.951211184,3
2023-07-14,450.475,45047.5,451.36,448.49,449.28,44928,69815823,451.1666035,448.2339078,464.7723927,50.74475288,2.023333622,2.765635672,-1
2023-07-13,447.9,44790,450.38,447.45,449.56,44956,72425241,451.0135937,448.2985952,464.6210256,49.00105152,1.661811367,2.544870811,7
2023-07-12,446.39,44639,447.4799,444.91,446.02,44602,91924527,450.5380133,448.1874442,464.4359408,29.66562986,1.077236252,2.251343899,8
2023-07-11,440.45,44045,442.97,439.44,442.46,44246,64463752,449.7686787,447.9080567,464.2172747,22.59563818,0.322971004,1.86566932,6
2023-07-10,438.18,43818,439.84,437.585,439.66,43966,62443501,448.8059474,447.5057125,463.9729237,21.13712375,-0.495019956,1.393531465,2
2023-07-07,438.63,43863,442.64,438.3,438.55,43855,86134178,447.8291905,447.0688484,463.7199593,23.77727615,-1.21880182,0.871064808,-3
2023-07-06,439.42,43942,440.1,437.06,439.66,43966,80658302,447.0511724,446.7074412,463.4805567,17.87596271,-1.683430895,0.360165667,-8
2023-07-05,441.91,44191,443.889,441.9,443.13,44313,58418432,446.6777274,446.5329319,463.2780636,28.07267545,-1.751463009,-0.062160068,-2
2023-07-03,442.92,44292,444.08,442.63,443.79,44379,32793378,446.4027057,446.3991303,463.0841526,31.06584212,-1.732155257,-0.396159106,1
2023-06-30,441.44,44144,444.3,441.11,443.28,44328,104964019,446.1053052,446.2469776,462.8870963,32.87143957,-1.737972201,-0.664521725,11
